FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
DON MARCE SUR 2;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
LAS MARGARITAS;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
LA CECILIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
JOSEFINA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
SAN ALFREDO;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
VICTORIA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0
CIRCASIA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0
CIENAGA;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;600000.0
MARIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
REMANSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PIEDECUESTA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NAUTICA;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;119125440.0;1429505280.0
LAS LINAS;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;900000.0;10800000.0
DON ALI;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;34164000.0;409968000.0
DR4 DON ALI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
